image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
479,"staircase on a house, with rocks next to it",6,3,2,1,1,"['staircase below a house, with rocks next to it', 'staircase on a wall, with rocks next to it', 'hanging on a house, with rocks next to it', 'staircase on a gallery, with rocks next to it', 'staircase on a house, with carpet next to it']",454.0,1.0,345.0,418.0
486,a bike near a fence with a sign in front of a building,6,4,2,0,2,"['a tank near a fence with a sign in front of a building', 'a bike near a fence with a file in front of a building', 'a bike over a fence with a sign in front of a building', 'a bike on a fence with a sign in front of a building', 'a bike near a rail with a sign in front of a building']",210.0,136.0,464.0,337.0
493,a dresser against a wall with a picture on the wall,6,3,3,0,1,"['a closet against a wall with a picture on the wall', 'a dresser against a frame with a picture on the wall', 'a table against a wall with a picture on the wall', 'a dresser against a wall with a map on the wall', 'a dresser against a wall with a picture across the wall']",1.0,1.0,525.0,448.0
525,an outlet by a sink and cabinets up top by the wall,6,4,2,0,2,"['an outlet by a sink and cabinets up top by the corner', 'an outlet by a toilet and cabinets up top by the wall', 'an outlet in a sink and cabinets up top by the wall', 'an outlet by a sink and cabinets up top by the bar', 'an outlet by a sink and closet up top by the wall']",226.0,0.0,568.0,598.0
531,fence behind chair with armrest and base,6,4,2,0,2,"['pin behind chair with armrest and base', 'fence behind chair with armrest and storage', 'fence behind board with armrest and base', 'fence behind chair with armrest and library', 'fence behind console with armrest and base']",437.0,4.0,363.0,571.0
550,loveseat in front of french doors with a pillow,6,3,2,1,1,"['loveseat in front of french wall with a pillow', 'pew in front of french doors with a pillow', 'loveseat in frinsidet of french doors with a pillow', 'loveseat in front of french doors with a mat', 'loveseat in fracrosst of french doors with a pillow']",561.0,127.0,237.0,392.0
569,sofa by a wall with gold trim,6,3,2,1,1,"['counter by a wall with gold trim', 'sofa in a wall with gold trim', 'sofa by a bar with gold trim', 'sofa by a corner with gold trim', 'console by a wall with gold trim']",1.0,0.0,627.0,483.0
603,"a building with clear glass windows, and a star in one of the windows",6,3,2,1,1,"['a buildbelowg with clear glass windows, and a star in one of the windows', 'a building with cloudy glass windows, and a star in one of the windows', 'a porch with clear glass windows, and a star in one of the windows', 'a bar with clear glass windows, and a star in one of the windows', 'a building with clear glass windows, and a roof in one of the windows']",393.0,1.0,405.0,598.0
655,rocks by the water with a reflection of the sun,6,4,2,0,2,"['rocks by the water with a reflectiinside of the sun', 'surface by the water with a reflection of the sun', 'rocks in the water with a reflection of the sun', 'rocks by the exhaust with a reflection of the sun', 'rocks by the water with a reflectiacross of the sun']",9.0,1.0,788.0,598.0
703,cloud above hill and cloud2 in sky,6,4,2,0,2,"['cloud above deep and cloud2 in sky', 'cloud above mountain and cloud2 in sky', 'cloud on hill and cloud2 in sky', 'cloud above hill and cloud2 in neon', 'cloud above hill and cloud2 below sky']",2.0,2.0,796.0,433.0
715,a woman is standing near the water on a dock with a boat nearby.,6,4,2,0,2,"['a woman is standing near the oxygen on a dock with a boat nearby.', 'a woman is standing near the exhaust on a dock with a boat nearby.', 'a woman is standing near the water on a dock with a spaceship nearby.', 'a man is standing near the water on a dock with a boat nearby.', 'a woman is standing by the water on a dock with a boat nearby.']",401.0,172.0,356.0,197.0
716,a boy near a building with a brick in it,6,3,3,0,1,"['a boy by a building with a brick in it', 'a boy near a building with a door in it', 'a boy near a buildaroundg with a brick in it', 'a boy near a wall with a brick in it', 'a woman near a building with a brick in it']",19.0,36.0,561.0,584.0
743,"a window on a large building, with a column in front of it.",6,3,2,1,1,"['a window on a small building, with a column in front of it.', 'a window on a large hill, with a column in front of it.', 'a window on a large balcony, with a column in front of it.', 'a frame on a large building, with a column in front of it.', 'a cornice on a large building, with a column in front of it.']",527.0,1.0,272.0,450.0
769,multiple windows on a building,6,3,2,1,1,"['multiple windows on a cross', 'multiple windows on a wall', 'single windows on a building', 'multiple frames on a building', 'multiple racks on a building']",380.0,45.0,416.0,530.0
770,van with wheel2 and windshield,6,4,2,0,2,"['symbolism with wheel2 and windshield', 'van with gun2 and windshield', 'deco with wheel2 and windshield', 'van with wheel2 and shutter', 'van with anchor2 and windshield']",395.0,307.0,324.0,192.0
782,sign with children and a street with a pole,6,4,2,0,2,"['sign with children and a spur with a pole', 'sign with children and a street with a bow', 'sign with children and a bypass with a pole', 'sign with brick and a street with a pole', 'sign with red and a street with a pole']",0.0,232.0,364.0,357.0
800,a building with an arch and a window can be seen. there is also a tower.,6,4,2,0,2,"['a building with an threshold and a window can be seen. there is also a tower.', 'a tower with an arch and a window can be seen. there is also a tower.', 'a porch with an arch and a window can be seen. there is also a tower.', 'a building with an arch and a base can be seen. there is also a tower.', 'a building with an arch and a foundation can be seen. there is also a tower.']",0.0,20.0,796.0,416.0
819,a cloudy blue sky. there is a road.,6,3,1,2,2,"['g cloudy blue sky. there is a road.', 'a cloudy blue sky. there is a path.', 'a cloudy blue neon. there is a road.', 'l cloudy blue sky. there is a road.', 'a cloudy grey sky. there is a road.']",61.0,86.0,586.0,507.0
859,a tree with leaves and a trunk,6,3,3,0,1,"['a tree with stem and a trunk', 'a tree with root and a trunk', 'a tree with leaves and a flower', 'a shrub with leaves and a trunk', 'a tree with leaves and a bulb']",335.0,2.0,384.0,447.0
876,"a black sedan on a road, with a street light nearby",6,3,2,1,1,"['a black sedan on a road, with a street light nearat', 'a black sedan inside a road, with a street light nearby', 'a black sedan on a road, with a street light nearunder', 'a black sedan on a porch, with a street light nearby', 'a black sedan below a road, with a street light nearby']",6.0,175.0,700.0,423.0
877,a tree on a street with yellow lines,6,3,2,1,1,"['a tree on a freeway with yellow lines', 'a tree on a street with yellow flank', 'a tree inside a street with yellow lines', 'a strawberry on a street with yellow lines', 'a carrot on a street with yellow lines']",0.0,190.0,797.0,408.0
881,"a girl with hair and a tray, and she has hair2",6,4,2,0,2,"['a girl with hair and a tray, and she lack hair2', 'a girl with hair and a shoe, and she has hair2', 'a figure with hair and a tray, and she has hair2', 'a guy with hair and a tray, and she has hair2', 'a girl with cinnamon and a tray, and she has hair2']",0.0,34.0,529.0,417.0
933,a girl with a hat and a boy,6,3,3,0,1,"['a girl with a robe and a boy', 'a girl with a hat and a man', 'a girl with a dress and a boy', 'a gentleman with a hat and a boy', 'a figure with a hat and a boy']",231.0,23.0,328.0,335.0
949,multiple trees in a city,6,3,2,1,1,"{'single trees in a city', 'multiple trees in a commonwealth', 'multiple rockets in a city', 'multiple carrots in a city', 'multiple trees in a kingdom'}",128.0,23.0,622.0,506.0
1008,a frame around a picture on a wall,6,4,2,0,2,"['a base around a picture on a wall', 'a frame around a picture inside a wall', 'a frame around a picture on a box', 'a frame around a picture below a wall', 'a cornice around a picture on a wall']",1.0,1.0,446.0,285.0
1014,label on shelf and another label on shelf2,6,4,2,0,2,"['label on disc and another label on shelf2', 'label on disk and another label on shelf2', 'label across shelf and another label on shelf2', 'kick on shelf and another label on shelf2', 'counter on shelf and another label on shelf2']",112.0,132.0,370.0,457.0
1060,two white fluffy pillows. there is a beds.,6,3,1,2,2,"['three white fluffy pillows. there is a beds.', 'two green fluffy pillows. there is a beds.', 'two white fluffy pillows. there is a sofa.', 'two black fluffy pillows. there is a beds.', 'two white fluffy pillows. there is a dresser.']",311.0,287.0,291.0,260.0
1142,there is a pot on the counter and a table in the kitchen.,6,4,2,0,2,"['there is a pot on the couch and a table in the kitchen.', 'there is a pot inside the counter and a table in the kitchen.', 'there is a pot on the counter and a table in the parlor.', 'there is a pot on the counter and a row in the kitchen.', 'there is a plate on the counter and a table in the kitchen.']",6.0,57.0,550.0,368.0
1150,there is a phone on the counter and a packet on the desk,6,4,2,0,2,"['there is a phone on the dresser and a packet on the desk', 'there is a phone on the counter and a packet on the counter', 'there is a man on the counter and a packet on the desk', 'there is a phbelowe on the counter and a packet on the desk', 'there is a phinsidee on the counter and a packet on the desk']",8.0,196.0,256.0,275.0
1184,two vintage posters on a wall,6,3,2,1,1,"['two vintage posters on a school', 'two vintage posters under a wall', 'two vintage marks on a wall', 'two vintage posters across a wall', 'two vintage prints on a wall']",498.0,1.0,289.0,400.0
1187,a container under a microwave above a stove on a counter.,6,4,2,0,2,"['a container under a microwave above a refrigerator on a counter.', 'a container under a microwave above a stove on a couch.', 'a container above a microwave above a stove on a counter.', 'a bar under a microwave above a stove on a counter.', 'a container under a microwave above a stove on a stand.']",71.0,137.0,305.0,365.0
1201,a step on a staircase leading to the second floor,6,3,2,1,1,"['a step on a door leading to the second floor', 'a parking on a staircase leading to the second floor', 'a device on a staircase leading to the second floor', 'a step on a staircase leading to the second edge', 'a step below a staircase leading to the second floor']",2.0,120.0,445.0,380.0
1244,two red lines on a wall,6,3,2,1,1,"['two red lines across a wall', 'two red lines on a corner', 'two white lines on a wall', 'two red heads on a wall', 'two red lines on a billboard']",97.0,79.0,447.0,235.0
1369,chair on chair2 in living room with fireplace,6,4,2,0,2,"['box on chair2 in living room with fireplace', 'chair inside chair2 in living room with fireplace', 'chair on chair2 by living room with fireplace', 'stand on chair2 in living room with fireplace', 'chair on chair2 in living room with bay']",0.0,3.0,652.0,448.0
1401,"multiple chandeliers on a ceiling, with light shining on them",6,3,2,1,1,"['single chandeliers on a ceiling, with light shining on them', 'multiple chandeliers on a bow, with light shining on them', 'multiple chandeliers on a stern, with light shining on them', 'multiple chandeliers below a ceiling, with light shining on them', 'multiple can on a ceiling, with light shining on them']",407.0,11.0,290.0,350.0
1456,a door that is built into a doorway and a tree by a church,6,4,2,0,2,"['a gate that is built into a doorway and a tree by a church', 'a door that is built into a doorway and a tree inside a church', 'a door that is built into a doorway and a dock by a church', 'a door that is built into a doorway and a shrub by a church', 'a door that is built into a gateway and a tree by a church']",41.0,18.0,579.0,462.0
1469,a chimney on a factory and an hvac system on a building,6,4,2,0,2,"['a coil on a factory and an hvac system on a building', 'a chimney on a factory and an hvac system on a platform', 'a chimney below a factory and an hvac system on a building', 'a chimney on a mint and an hvac system on a building', 'a pipe on a factory and an hvac system on a building']",283.0,1.0,515.0,262.0
1494,a window in a building and a window2 on a building,6,4,2,0,2,"['a wbydow in a building and a window2 on a building', 'a wabovedow in a building and a window2 on a building', 'a window in a sign and a window2 on a building', 'a window in a plate and a window2 on a building', 'a horse in a building and a window2 on a building']",5.0,2.0,244.0,225.0
1512,a window in a building and another window in the building,6,3,3,0,1,"['a frame in a building and another window in the building', 'a window in a wall and another window in the building', 'a walker in a building and another window in the building', 'a wacrossdow in a building and another window in the building', 'a window in a row and another window in the building']",3.0,4.0,463.0,300.0
1524,a bottle on a counter and a coffee machine on another counter,6,4,2,0,2,"['a pot on a counter and a coffee machine on another counter', 'a bottle on a couch and a coffee machine on another counter', 'a plate on a counter and a coffee machine on another counter', 'a bottle on a stand and a coffee machine on another counter', 'a bottle across a counter and a coffee machine on another counter']",0.0,68.0,800.0,529.0
1562,black clock on a building,6,3,2,1,1,"['white clock on a building', 'black clock on a platform', 'black clock on a wall', 'black ruler on a building', 'black balance on a building']",174.0,73.0,224.0,188.0
1595,pole on stairs with a pumpkin on the porch,6,4,2,0,2,"['pole on driveway with a pumpkin on the porch', 'pole on stairs with a pumpkin on the platform', 'pole across stairs with a pumpkin on the porch', 'pole on stairs with a pumpkin on the wall', 'style on stairs with a pumpkin on the porch']",2.0,200.0,584.0,398.0
1614,colonel sanders on the side of a building with a sign,6,4,2,0,2,"['colinsideel sanders on the side of a building with a sign', 'colonel sanders on the side of a wall with a sign', 'colacrossel sanders on the side of a building with a sign', 'colonel sanders on the side of a building with a file', 'colonel sanders on the path of a building with a sign']",6.0,0.0,187.0,317.0
1643,a window on building2 and another window on building2,6,4,2,0,2,"['a foot on building2 and another window on building2', 'a window on level2 and another window on building2', 'a window under building2 and another window on building2', 'a window across building2 and another window on building2', 'a window on route2 and another window on building2']",0.0,52.0,357.0,399.0
1650,trees on side street. side street has trees.,6,2,2,2,1,"['trees below side street. side street has trees.', 'trees on side street. side street lack trees.', 'ivy on side street. side street has trees.', 'trees under side street. side street has trees.', 'trees on side street. side street refuse trees.']",244.0,22.0,497.0,413.0
1685,papers and a folder on a desk,6,4,2,0,2,"['papers and a folder on a box', 'papers and a folder on a board', 'typing and a folder on a desk', 'papers and a folder below a desk', 'papers and a folder under a desk']",16.0,263.0,463.0,334.0
1685,"a jacket on a chair, with two other chairs in the background",6,4,1,1,3,"['a jacket on a chair, with two same chairs in the background', 'a jacket below a chair, with two other chairs in the background', 'a mantle on a chair, with two other chairs in the background', 'a jacket across a chair, with two other chairs in the background', 'a jacket on a board, with two other chairs in the background']",349.0,293.0,323.0,301.0
1717,a bicycle leaning against a pole and a motorcycle parked next to a city street,6,4,2,0,2,"['a trailer leaning against a pole and a motorcycle parked next to a city street', 'a bicycle leaning against a pole and a automobile parked next to a city street', 'a bicycle leaning against a marker and a motorcycle parked next to a city street', 'a car leaning against a pole and a motorcycle parked next to a city street', 'a bicycle leaning against a club and a motorcycle parked next to a city street']",4.0,113.0,772.0,480.0
1719,a sedan parked on the side of a road with a paper under the windshield wiper,6,4,2,0,2,"['a taxi parked on the side of a road with a paper under the windshield wiper', 'a sedan parked on the side of a road with a dust under the windshield wiper', 'a sedan parked on the side of a bridge with a paper under the windshield wiper', 'a sedan parked on the side of a door with a paper under the windshield wiper', 'a sedan parked on the side of a road with a stone under the windshield wiper']",1.0,307.0,227.0,286.0
1719,window on a building and window2 on another building,6,4,2,0,2,"['window across a building and window2 on another building', 'base on a building and window2 on another building', 'walker on a building and window2 on another building', 'window on a wall and window2 on another building', 'window below a building and window2 on another building']",406.0,8.0,392.0,589.0
1720,a bike rack in front of a store with an awning near a building,6,4,2,0,2,"['a bike rack in front of a store with an awning near a restroom', 'a bike rack in front of a store with an umbrella near a building', 'a bike rack in front of a nightclub with an awning near a building', 'a bike rack in front of a store with an awning inside a building', 'a bike rack in front of a store with an awning near a road']",543.0,139.0,255.0,251.0
1781,a light on a building with a circular window,6,3,2,1,1,"['a light on a building with a square window', 'a carrier on a building with a circular window', 'a light on a building with a circular grille', 'a ultraviolet on a building with a circular window', 'a light across a building with a circular window']",136.0,25.0,432.0,457.0
1811,man wearing a jacket on a sidewalk with a person,6,4,2,0,2,"['man wearing a cape on a sidewalk with a person', 'man wearing a jacket on a sidewalk with a head', 'man wearing a jacket below a sidewalk with a person', 'man wearing a jacket on a alley with a person', 'man wearing a jacket on a sidewalk with a piece']",584.0,188.0,214.0,406.0
1813,a frame on a building with an emblem.,6,3,3,0,1,"['a cornice on a building with an emblem.', 'a frame on a building with an rib.', 'a frame below a building with an emblem.', 'a frame under a building with an emblem.', 'a horse on a building with an emblem.']",34.0,4.0,608.0,497.0
1827,statue in an archway with a foot,6,4,2,0,2,"['carving in an archway with a foot', 'bust in an archway with a foot', 'statue in an door with a foot', 'statue in an opening with a foot', 'statue in an archway with a thumb']",59.0,84.0,426.0,706.0
1857,window in building with air conditioner,6,3,3,0,1,"['pilot in building with air conditioner', 'frame in building with air conditioner', 'window in system with air conditioner', 'wunderdow in building with air conditioner', 'wbydow in building with air conditioner']",1.0,0.0,405.0,327.0
1924,"a black car passing a statue, and a car passing the statue",6,3,2,1,1,"['a white car passing a statue, and a car passing the statue', 'a black cat passing a statue, and a car passing the statue', 'a black tank passing a statue, and a car passing the statue', 'a black car passing a marble, and a car passing the statue', 'a black motorcycle passing a statue, and a car passing the statue']",223.0,240.0,411.0,247.0
1928,manhole in the street with road in front of building,6,4,2,0,2,"['manhole in the street with door in front of building', 'manhole by the street with road in front of building', 'manhole over the street with road in front of building', 'manhole in the trail with road in front of building', 'manhole in the street with road in front of ground']",75.0,5.0,661.0,589.0
1944,multiple windows adorning a house,6,3,2,1,1,"{'multiple frames adorning a house', 'single windows adorning a house', 'multiple windows adorning a dormitory', 'multiple props adorning a house', 'multiple windows adorning a school'}",225.0,1.0,551.0,426.0
1952,"person sitting on a white shirt on top of a blanket, under a tree",6,4,1,1,3,"['person sitting on a white fur on top of a blanket, under a tree', 'person sitting on a yellow shirt on top of a blanket, under a tree', 'person sitting on a white shirt on top of a blanket, under a bush', 'person sitting on a white shirt on top of a bandage, under a tree', 'person sitting on a red shirt on top of a blanket, under a tree']",1.0,0.0,427.0,476.0
1963,leaves on a tree and leaves2 on leaves,6,4,2,0,2,"['enter on a tree and leaves2 on leaves', 'leaves across a tree and leaves2 on leaves', 'leaves inside a tree and leaves2 on leaves', 'leaves on a clover and leaves2 on leaves', 'flesh on a tree and leaves2 on leaves']",2.0,1.0,416.0,268.0
1982,"hair dryer on a wall, with a light switch",6,3,2,1,1,"['hair dryer on a wall, with a heavy switch', 'hair dryer on a wall, with a light high', 'hair dryer below a wall, with a light switch', 'hair dryer on a wall, with a light low', 'hair dryer on a frame, with a light switch']",475.0,1.0,321.0,596.0
2000,bed with sheet and blanket,6,4,2,0,2,"['sofa with sheet and blanket', 'cot with sheet and blanket', 'bed with sheet and spread', 'bed with sheet and quilt', 'bed with hole and blanket']",349.0,235.0,446.0,355.0
2016,center with drawers and television in armoir,6,4,2,0,2,"['center with thong and television in armoir', 'right with drawers and television in armoir', 'place with drawers and television in armoir', 'center with drawers and television over armoir', 'center with drawers and television under armoir']",0.0,0.0,423.0,597.0
2063,tree above fence with shadow on patio,6,4,2,0,2,"['tree above wing with shadow on patio', 'ivy above fence with shadow on patio', 'tree above fence with shadow across patio', 'tree above fence with shadow on deck', 'tree under fence with shadow on patio']",124.0,1.0,656.0,596.0
2066,flowers in a vase and another vase on a table,6,4,2,0,2,"['flowers in a vase and another vase on a row', 'flowers in a vase and another vase under a table', 'flowers over a vase and another vase on a table', 'flowers in a mug and another vase on a table', 'flowers in a vase and another vase on a bank']",134.0,223.0,395.0,253.0
2067,multiple cabinets with knobs,6,4,1,1,3,"{'multiple drops with knobs', 'multiple cabinets with wall', 'single cabinets with knobs', 'multiple cabinets with hall', 'multiple tables with knobs'}",20.0,0.0,680.0,597.0
2091,multiple pieces of drapery on a window,6,3,2,1,1,"['multiple pieces of drapery on a foundation', 'multiple pieces of glass on a window', 'multiple pieces of drapery below a window', 'multiple pieces of drapery across a window', 'multiple pieces of light on a window']",287.0,6.0,301.0,249.0
2117,a porch on a building with trash under it in a yard,6,4,2,0,2,"['a cross on a building with trash under it in a yard', 'a porch on a building with dirt under it in a yard', 'a porch on a building with trash under it in a b', 'a porch on a building with trash around it in a yard', 'a porch on a building with trash under it in a barn']",2.0,2.0,796.0,596.0
2129,multiple wine glasses in a closet,6,3,2,1,1,"{'single wine glasses in a closet', 'multiple wine glasses in a bathroom', 'multiple wine glasses in a classroom', 'multiple wbye glasses in a closet', 'multiple wovere glasses in a closet'}",469.0,156.0,213.0,286.0
2133,a rug on the floor and some books on a shelf,6,4,2,0,2,"['a rug on the back and some books on a shelf', 'a rug on the floor and some books on a cell', 'a brush on the floor and some books on a shelf', 'a bag on the floor and some books on a shelf', 'a rug on the floor and some magazine on a shelf']",382.0,267.0,300.0,332.0
2136,window on a house and glass window on a building,6,4,2,0,2,"['window on a room and glass window on a building', 'window below a house and glass window on a building', 'window across a house and glass window on a building', 'window on a park and glass window on a building', 'window on a house and glass window on a wall']",1.0,132.0,597.0,585.0
2163,the floor of a kitchen with a plant on the floor by the door,6,4,2,0,2,"['the floor of a kitchen with a screen on the floor by the door', 'the edge of a kitchen with a plant on the floor by the door', 'the face of a kitchen with a plant on the floor by the door', 'the floor of a hall with a plant on the floor by the door', 'the floor of a kitchen with a plant on the floor by the wall']",0.0,0.0,800.0,597.0
2176,a wall in a building and a picture on the wall,6,4,2,0,2,"['a wall in a corner and a picture on the wall', 'a wall in a building and a picture below the wall', 'a wall in a building and a picture inside the wall', 'a wall under a building and a picture on the wall', 'a skeleton in a building and a picture on the wall']",6.0,8.0,788.0,587.0
2195,black knobs on a range in cabinets,6,3,2,1,1,"['black knobs on a range across cabinets', 'black house on a range in cabinets', 'black knobs on a height in cabinets', 'green knobs on a range in cabinets', 'purple knobs on a range in cabinets']",266.0,45.0,253.0,469.0
2197,a set of cabinets on a wall with dishes,6,4,2,0,2,"['a set of cabinets on a wall with can', 'a set of cabinets on a hall with dishes', 'a set of wardrobe on a wall with dishes', 'a string of cabinets on a wall with dishes', 'a set of table on a wall with dishes']",286.0,36.0,324.0,221.0
2197,basket of fruit and apples on counter,6,4,2,0,2,"['basket of fruit and apples on file', 'basket of fruit and apples on dresser', 'basket of bulb and apples on counter', 'basket of fruit and apples inside counter', 'basket of fruit and apples below counter']",373.0,357.0,398.0,216.0
2198,island with top and floor on kitchen,6,4,2,0,2,"['island with top and floor under kitchen', 'tent with top and floor on kitchen', 'island with top and floor on toilet', 'island with area and floor on kitchen', 'island with top and beam on kitchen']",0.0,0.0,797.0,709.0
2209,woman behind a counter with a stool by the bar,6,4,2,0,2,"['family behind a counter with a stool by the bar', 'woman behind a counter with a stool by the kitchen', 'woman behind a desk with a stool by the bar', 'woman behind a counter with a chair by the bar', 'woman behind a counter with a stand by the bar']",0.0,282.0,412.0,316.0
2210,books tucked into a tv stand with blinds on the window,6,4,2,0,2,"['books tucked into a tv stand with blinds under the window', 'books tucked into a tv stand with blinds on the case', 'books tucked into a tv stand with color on the window', 'books tucked into a tv stand with blood on the window', 'magazine tucked into a tv stand with blinds on the window']",0.0,52.0,418.0,530.0
