caption,caption_triples
"there is a building with a window and a ramp. there is a person under the building, and a tree outside the building.	","building with a window and a ramp, a person under the building, a tree outside the building."
a man with two eyes and a torso. the man is standing in a room and has a hand.	,"a man with two eyes, a man with a torso, the man is standing in a room, the man has a hand."
"sign on a building with a window and balcony. the door has a frame around it, and there is a second window on the building.	","sign on a building, a building with a window, a building with balcony, the door has a frame around it, a second window on the building."
a boy standing near a batter who is standing at home plate. the batter has a belt around his waist.	,"a boy standing near a batter, the batter is standing at home plate, the batter has a belt around his waist."
chair with wheels in a room with a floor and a wall. there is a painting on the wall.	,"chair with wheels in a room, a room with a floor, a room with a wall, a painting on the wall."
stool with cushion beside a pool. there is a rail inside the pool and water in it. the pool has lines on it.	,"stool with cushion beside a pool, a rail inside the pool, water in the pool, the pool has lines on it."
wine holder with wine on a basket on the floor in a room. there are paper towels in the basket.	,"wine holder with wine on a basket, a basket on the floor, a basket in a room, paper towels in the basket."
"a tree next to a building with a window in it, and grass on the ground	","a tree next to a building, a building with a window, grass on the ground."
"light on a car in front of a house. the car has a left brake-light, and the house has a window. there is an emblem on the back of the car, and a log on the house.	","light on a car, a car in front of a house, the car has a left brake-light, the house has a window, an emblem on the back of the car, a log on the house."
"there is a tree, another tree, and another tree on the lawn. there is a person hunched over on the lawn, and a light pole in front of the building.	","a tree on the lawn, another tree on the lawn, another tree on the lawn, a person hunched over on the lawn, a light pole in front of the building."
"pathway in front of a house, with another house in front of it with a door and gray roof. there are bricks on the another house, and a tall tree is behind it.	","pathway in front of a house, another house in front of the pathway, the house has a door, the house has a gray roof, bricks on the another house, a tall tree behind the house."
a recliner facing a television that is next to a wall. the television is on a stand in the corner and has a sign atop it.	,"a recliner facing a television, a television next to a wall, the television is on a stand, a stand in the corner, a sign atop the television."
cars on a road near a building with windows	,"cars on a road, a road near a building, the building has windows."
papers on a board in front of a wall. there is a printer on the wall and two other papers.	,"papers on a board, a board in front of a wall, a printer on the wall, two other papers."
a trafficcone on the ground next to a car; a man is walking on the ground	,"a trafficcone on the ground, the trafficcone next to a car, a man walking on the ground."
"tree with leaves, shadows on a parking lot, car and women	","tree with leaves, shadows on a parking lot, a car, women."
painting hanging on wall and heater above floor	,"painting hanging on wall, heater above floor."
glass top table with a vase and ball on top. there is a pot with a cactus inside. the table is in front of a couch.	,"glass top table, a vase on the table, a ball on the table, a pot with a cactus, the table in front of a couch."
"man on wall in tunnel with floor. there are tracks in the mine, and a sign.	","man on wall in tunnel, tunnel with floor, tracks in the mine, a sign."
"leaves on a sidewalk with a chair and another chair. there is a shadow on the street, and a leaf on the street.	","leaves on a sidewalk, a chair on the sidewalk, another chair on the sidewalk, a shadow on the street, a leaf on the street."
a desk with a monitor on it against a wall. there is another monitor on the desk and a circle on the monitor. there is a file cabinet with a drawer.	,"a desk with a monitor, the monitor against a wall, another monitor on the desk, a circle on the monitor, a file cabinet with a drawer."
banana with a shadow next to a flower with three petals and a leaf	,"banana with a shadow, a banana next to a flower, a flower with three petals, a flower with a leaf"
a cloudy sky with a body of water and a buoy. there is a cloud in the sky and a building next to the water.	,"a cloudy sky, a body of water, a buoy in the water, a cloud in the sky, a building next to the water"
"man with a beard and another beard on his lips, in front of a wall	","man with a beard, a beard on his lips, a man in front of a wall"
"a chair with a leg and a rug underneath it, sitting at a table with a paper on top. there is a second chair set at the table.	","a chair with a leg, a rug underneath the chair, a chair sitting at a table, a table with a paper on top, a second chair at the table"
there is a picture on the wall and another one on the another wall. there is a window on the back wall and the frame outlines the another picture.	,"a picture on the wall, another picture on another wall, a window on the back wall, a frame outlining another picture"
"a bowl on top of a table, and a basket of bread.	","a bowl on top of a table, a basket of bread"
"fork and another fork on a table, with a plate that has sauce and meat with another sauce.	","fork on a table, another fork on the table, a plate with sauce and meat, another sauce on the plate"
"a house with a window and shutters. there is another window in the house, and vines on the house. the driveway is on the side of the house.	","a house with a window, a house with shutters, another window in the house, vines on the house, a driveway on the side of the house"
"building with a shade, a bicycle chained to a pole, and a shrub in front of it. there is a window in the building, and steps on the building.	","building with a shade, a bicycle chained to a pole, a shrub in front of the building, a window in the building, steps on the building"
"a building with a window, door, steps, and a bicycle chained to a pole. the building has shade.	","a building with a window, a building with a door, a building with steps, a bicycle chained to a pole, the building has shade"
"car with a wheel and a window, parked by a sidewalk with snow on it	","car with a wheel, a car with a window, a car parked by a sidewalk, a sidewalk with snow"
a truck next to a building with a window and a door. the door has a shadow on the side	,"a truck next to a building, a building with a window, a building with a door, the door has a shadow"
a man walking on a sidewalk with a tree and trashbags	,"a man walking on a sidewalk, a sidewalk with a tree, a sidewalk with trashbags"
a street light near a bucket that has a sign inside of it. the bucket is on the sidewalk and there is a cone next to it.	,"a street light near a bucket, a bucket with a sign inside, the bucket on the sidewalk, a cone next to the bucket"
a tree in front of a house with a window. there is a box near a pole and a sign under a traffic light.	,"a tree in front of a house, a house with a window, a box near a pole, a sign under a traffic light"
a person wearing pants and a car parked on a street with buildings lining it.	,"a person wearing pants, a car parked on a street, a street with buildings lining it"
"a shelf with books on it, a badge hanging from it, and a binder on the bottom. there is an outlet on the side of the wall.	","a shelf with books, a badge hanging from the shelf, a binder on the bottom of the shelf, an outlet on the side of the wall"
people and a car on a road near a sidewalk with a sign above the people	,"people on a road, a car on the road, a road near a sidewalk, a sign above the people"
a keyboard in front of a monitor on a shelf that is mounted on a wall	,"a keyboard in front of a monitor, a monitor on a shelf, a shelf mounted on a wall"
"man wearing a shirt at a desk with a computer tower, a bottle, and two speakers.	","man wearing a shirt at a desk, a desk with a computer tower, a desk with a bottle, a desk with two speakers."
a tree with a trunk and leaf on a sidewalk next to a sign and manhole cover. there is a car by the sidewalk.	,"a tree with a trunk on a sidewalk, a leaf on a sidewalk, a sidewalk next to a sign, a sidewalk next to a manhole cover, a car by the sidewalk."
desk with a drawer and another drawer under a window. there is a clock sitting in the window and a chair on the floor.	,"desk with a drawer, another drawer under a window, a clock in the window, a chair on the floor."
a keyboard and monitor on a desk with a chair in front of the desk	,"a keyboard on a desk, a monitor on a desk, a chair in front of the desk."
two monitors with a keyboard in front of them on a table. there is a speaker and a mouse on the table.	,"two monitors on a table, a keyboard in front of monitors, a speaker on the table, a mouse on the table."
"hardhat with wires inside, behind a book on a table. there are letters on the hardhat and a cord behind a mug.	","hardhat with wires inside, a book on a table, letters on a hardhat, a cord behind a mug."
"a microwave, a bottle of soap, a pitcher, and a sponge on a counter	","a microwave on a counter, a bottle of soap on a counter, a pitcher on a counter, a sponge on a counter."
"desk with a computer and monitor on top of it, and a chair with a wheel under it. there is paper under the desk.	","desk with a computer and monitor, a chair with a wheel, paper under the desk."
a computer on a shelf with a light reflecting off of it. there are chords under the computer and a keyboard on the computer.	,"a computer on a shelf, a light reflecting off a computer, chords under the computer, a keyboard on the computer."
a paper cup on a desk in front of a man in a black chair	,"a paper cup on a desk, a desk in front of a man, a man in a black chair."
"man typing on a laptop with hair, on a desk with keys next to it.	","man typing on a laptop, a laptop with hair, a desk with keys next to it."
"street with sidewalk and curb. there are people on the sidewalk, and the street has barricades. there is a fire with smoke.	","street with a sidewalk, street with a curb, people on the sidewalk, street with barricades, a fire with smoke."
"dvd's, a box, and wine glasses on a shelf on a wall.	","dvd's on a shelf, a box on a shelf, wine glasses on a shelf."
a chair near an open window with a desk holding a computer monitor and keyboard in front of it.	,"a chair near an open window, a desk holding a computer monitor, a keyboard in front of a desk."
"girl with feet and a woman with fingers. there are pictures in the book, and a pillow behind the woman. the fingers are pointing at the book.	","girl with feet, woman with fingers, pictures in a book, pillow behind the woman, fingers pointing at a book."
a tree trunk on the sidewalk next to a bench and a streetlight. the sidewalk is next to a street.	,"tree trunk on the sidewalk, a bench next to the sidewalk, a streetlight next to the sidewalk, the sidewalk next to a street."
"a skull with feathers attached to it, flowers around it, ribbons hanging on the wall, and plates hanging on the wall	","skull with feathers, flowers around the skull, ribbons hanging on the wall, plates hanging on the wall."
"woman next to a sack full of fruit and a blanket, with concrete behind her and drainage on the ground.	","woman next to a sack of fruit, woman next to a blanket, concrete behind the woman, drainage on the ground."
a shadow of a doorway on a building. there is a person in front of the building and another person and a man to the right of the shadow.	,"shadow of a doorway on a building, person in front of the building, another person next to the shadow, a man to the right of the shadow."
license plate on a car parked on a road. there is a truck parked on the road with another bumper. there is also another car parked on the road.	,"license plate on a car, car parked on a road, truck parked on the road, another bumper on the truck, another car parked on the road."
"a window on a building, with a sign and a cow in front of it	","a window on a building, a sign in front of the window, a cow in front of the building."
"a hydrant with a pole leaning over it and a cap on the hydrant, on a sidewalk	","a hydrant with a pole leaning over it = a pole leaning over a hydrant, a cap on the hydrant = a hydrant with a cap, a hydrant on a sidewalk = a hydrant on a sidewalk"
photo of furniture. building outside window. heater by window. chair rail near window. window on a wall.	,"photo of furniture = a photo of furniture, building outside window = a building outside a window, heater by window = a heater by a window, chair rail near window = a chair rail near a window, window on a wall = a window on a wall"
"pine tree in front of a house, with a truck on the side of the road. the front of the truck has snow in it.	","pine tree in front of a house = a pine tree in front of a house, truck on the side of the road = a truck on the side of the road, front of the truck with snow = the front of a truck with snow"
"there is a person near a building. there is a bag on the steps, and the grass is next to the steps. people are on the stairs, and the building is behind the stairs.	","person near a building = a person near a building, bag on the steps = a bag on the steps, grass next to the steps = grass next to the steps, people on the stairs = people on the stairs, building behind the stairs = a building behind the stairs"
paper hanging from holder on wall	,paper hanging from holder on wall = paper hanging from a holder on a wall
a bed with a night stand to the left of it and a lamp on the night stand. there are pillows on the bed.	,"bed with a night stand to the left = a bed with a night stand to the left, lamp on the night stand = a lamp on the night stand, pillows on the bed = pillows on the bed"
"a bucket on a tray, with glasses near the bucket, and a menu on the dresser.	","bucket on a tray = a bucket on a tray, glasses near the bucket = glasses near the bucket, menu on the dresser = a menu on the dresser"
curtain by bedspread. phone by bedspread. pamplet on bedspread. lamp on table. shade on lamp.	,"curtain by bedspread = a curtain by a bedspread, phone by bedspread = a phone by a bedspread, pamplet on bedspread = a pamplet on a bedspread, lamp on table = a lamp on a table, shade on lamp = a shade on the lamp"
a tissue dispenser is on the wall next to a dryer and a phone. there is a mirror on the wall behind them.	,"tissue dispenser on the wall = a tissue dispenser on the wall, dryer and a phone next to the dispenser = a dryer and a phone next to the tissue dispenser, mirror on the wall behind them = a mirror on the wall behind the dryer and phone"
"there is a table with an item on it in the corner of the room near a window. the table has a leg, and the chair has a cushion.	","table with an item on it in the corner = a table with an item on it in the corner, table near a window = a table near a window, table has a leg = the table has a leg, chair has a cushion = a chair has a cushion"
"toilet paper and tissues on a tank, with a towel hanging on the wallpaper behind them.	","toilet paper and tissues on a tank = toilet paper and tissues on a tank, towel hanging on the wallpaper = a towel hanging on the wallpaper behind them"
a bed with a striped bedspread and a pillow. there is a chair next to a trash basket on the floor.	,"bed with a striped bedspread = a bed with a striped bedspread, pillow on the bed = a pillow on the bed, chair next to a trash basket = a chair next to a trash basket on the floor"
"there is a chair on a porch near a house. there is a rail separating the chair from the house. there is a pot and plant near the chair, and a table nearby.	","chair on a porch near a house = a chair on a porch near a house, rail separating the chair from the house = a rail separating the chair from the house, pot and plant near the chair = a pot and plant near the chair, table nearby = a table nearby"
oven has handle. handle on oven. window on oven. microwave above oven.	,"oven has handle = an oven with a handle, window on oven = a window on the oven, microwave above oven = a microwave above the oven"
printer on a table next to a bed with a headboard and pillow. there is a chair on the floor.	,"printer on a table = a printer on a table, bed with a headboard and pillow next to the table = a bed with a headboard and pillow next to the table, chair on the floor = a chair on the floor"
a car driving on a road in front of a house with a window and a flag	,"car driving on a road = a car driving on a road, house with a window and a flag = a house with a window and a flag"
"a pillow on a bed with a circle on it. there is a second pillow on the bed, and a night stand with a shelf and book.	","pillow on a bed with a circle on it = a pillow on a bed with a circle on it, second pillow on the bed = a second pillow on the bed, night stand with a shelf and book = a night stand with a shelf and book"
"tray, cup, book and light on a table	","tray, cup, book and light on a table = a tray on a table, a cup on a table, a book on a table, a light on a table"
a basket on a rug with a light on the floor	,"basket on a rug = a basket on a rug, light on the floor = a light on the floor"
toilet with a handle and piping on a wall. there is a painting and a window above a piece of paper.	,"toilet with a handle and piping on a wall = a toilet with a handle and piping on a wall, painting and a window above a piece of paper = a painting and a window above a piece of paper"
books and bookcases with plants. the books are inside the bookcases and the plant has a leaf.	,"books and bookcases with plants, books inside bookcases, plant with a leaf."
"keyboard and desk in front of a window with a plant. there is a chair with a wheel next to the desk, and a lamp on the desk.	","keyboard and desk in front of a window, a window with a plant, chair with a wheel next to the desk, lamp on the desk."
"a bed with a pillow, blanket, and sheet. there is a chair beside the bed and a wall behind the bed.	","a bed with a pillow, a bed with a blanket, a bed with a sheet, chair beside the bed, wall behind the bed."
chair inside of a dining area with a table and lamp. there is a vase on the table and the lamp has a shade.	,"chair inside a dining area, dining area with a table, dining area with a lamp, vase on the table, lamp with a shade."
"a table with a birdcage, some oranges, and a lamp on an end table. yarn is under the table.	","table with a birdcage, table with oranges, table with a lamp, end table with yarn under it."
"black iron chandelier over a table with a plate, another plate, and another plate on it. there is a rug under the table.	","black iron chandelier over a table, table with a plate, table with another plate, table with another plate, rug under the table."
chair has cushion. teapot on top of table. mug on top of table. rug beneath table. saucers are on top of table.	,"chair with cushion, teapot on top of table, mug on top of table, rug beneath table, saucers on top of table."
"ladder leaning on a wall, with a blanket on it	","ladder leaning on a wall, blanket on the ladder."
a statue on a bookshelf with a bowl on top and a book	,"statue on a bookshelf, bookshelf with a bowl on top, bookshelf with a book."
a shelf above a counter with a microwave on it and a sticker attached to the microwave	,"shelf above a counter, counter with a microwave, microwave with a sticker attached."
beer in a glass on top of a table next to a chair with a plant behind it	,"beer in a glass on top of a table, table next to a chair, chair with a plant behind it."
"desk with a monitor on top of it, a keyboard on top of it, books near the keyboard, and a cabinet underneath the desk. the chair has a wheel.	","desk with a monitor on top, desk with a keyboard on top, books near the keyboard, cabinet underneath the desk, chair with a wheel."
woman sitting at a table with a bowl and a bottle on it. there is a metal framed chair next to a napkin.	,"woman sitting at a table, table with a bowl, table with a bottle, metal framed chair next to a napkin."
"taxi and another taxi in a street with a van in front of a bus. there is a man crossing the street, and the van has a tail-light.	","taxi in a street, another taxi in a street, van in front of a bus, man crossing the street, van with a tail-light."
a hydrant on a sidewalk with a cap. there is a window across the street with a similey face. a light hangs above the street.	,"hydrant on a sidewalk, hydrant with a cap, window across the street with a similey face, light hanging above the street."
man next to a can on the pavement in front of a flag and a building. there is a pole with a sign next to the man.	,"man next to a can on the pavement, man in front of a flag, man in front of a building, pole with a sign next to the man."
a flag on a pole next to a building. the building is next to another building with an awning and a window.	,"flag on a pole, building next to the pole, building with an awning, building with a window."
man in a hat on a sidewalk next to a street in a city. there is a person on the sidewalk and another person on the street.	,"man in a hat on a sidewalk, sidewalk next to a street, person on the sidewalk, person on the street."
"cars on a street with a parked car in front of a tree, and a flower beside the tree.	","cars on a street, parked car in front of a tree, flower beside the tree."
"person, another person, and another person using a crosswalk, and another person walking a dog	","person using a crosswalk, another person using a crosswalk, another person walking a dog."
a woman walking on the sidewalk under a light pole and canopy; there is a mailbox on the sidewalk	,"a woman walking on the sidewalk under a light pole, a woman under a canopy, a mailbox on the sidewalk"
"window on a building with a car parked along the street. there is an awning on the building, and the building contains another window. the street has a crosswalk.	","window on a building, a car parked along the street, an awning on the building, another window on the building, a crosswalk on the street"
"van on a street with a car driving by and the shadow of the van. there are people walking down the street, and a woman walking on the sidewalk.	","van on a street, a car driving by, shadow of the van, people walking down the street, a woman walking on the sidewalk"
people near a plane with luggage. the people are in pants and hats. there are trucks with a logo near the people	,"people near a plane with luggage, people in pants and hats, trucks with a logo near the people"
"shrub with leaves on the ground, sky in the background with clouds, and a conifer below the sky.	","shrub with leaves on the ground, sky in the background with clouds, conifer below the sky"
"a man is holding a stuffed animal and the stuffed animal is leaning on a table. there is a cup, pot, and cake on the table.	","a man holding a stuffed animal, the stuffed animal leaning on a table, a cup on the table, a pot on the table, a cake on the table"
a man in a courtyard in front of a building. the building has three windows.	,"a man in a courtyard in front of a building, the building has three windows"
"woman carrying shoes with a beach in the background. the beach has a railing, a palapa, and chairs. there is also a stroller on the beach.	","woman carrying shoes with a beach in the background, the beach has a railing, a palapa, chairs, a stroller on the beach"
"bird with a leg in water, reflection of beak, and an area behind the bird	","bird with a leg in water, reflection of beak, area behind the bird"
"a monkey with hands, head, and tail. there is hair on the monkey's hands.	","a monkey with hands, a monkey with a head, a monkey with a tail, hair on the monkey's hands"
tree with leaves and ripples in the water. there is grass near the water and a bridge over the water with an arch under it.	,"tree with leaves and ripples in the water, grass near the water, bridge over the water with an arch under it"
"tree with leaves on a sidewalk next to water. there is grass by the sidewalk, and trees beside the sidewalk. there is a bridge over the water.	","tree with leaves on a sidewalk next to water, grass by the sidewalk, trees beside the sidewalk, bridge over the water"
"a blue sign next to a door in front of a building. there is a chair and a table in front of the building, and a window on the side of the building.	","a blue sign next to a door in front of a building, a chair in front of the building, a table in front of the building, a window on the side of the building"
mountain in the background with grass and dirt; there are bushes on the mountain	,"mountain in the background with grass and dirt, bushes on the mountain"
"man next to a tree and a sidewalk. there is a hyrdant on the sidewalk, and a car near the man. there is a wire in the sky.	","man next to a tree and a sidewalk, hyrdant on the sidewalk, car near the man, wire in the sky"
"trees with leaves, a car on a road, a window on a building, and the sky	","trees with leaves, car on a road, window on a building, the sky"
a building with a fence around it and a window. there is a tree next to the building with a leaf. the street has a line on it.	,"a building with a fence around it, a window on the building, tree next to the building with a leaf, line on the street"
"three buildings; the first has a wall, the second has a window, and the third has a window and another window	","three buildings; the first has a wall, the second has a window, the third has a window and another window"
"man and woman are walking a dog on a sidewalk in front of a building. there are people in black pants, and a flag over the sidewalk.	","man and woman walking a dog on a sidewalk in front of a building, people in black pants, flag over the sidewalk"
"building with windows and a sign in front of it. there is a shrub and another shrub next to it, and the window is behind the shrub.	","building with windows and a sign in front of it, shrub next to the building, another shrub next to it, window behind the shrub."
bicycle parked beside black pole with street signs. window above a maroon awning where people are walking past	,"bicycle parked beside a black pole, street signs on the pole, window above a maroon awning, people walking past the awning"
"brown-paned windows on buiding. red ""brittann"" sign on buiding. ""sidney house"" sign on buiding. window below red ""brittann"" sign. woman walking past ""sidney house"" sign. there is a street level.	","brown-paned windows on a building, red ""brittann"" sign on the building, ""sidney house"" sign on the building, window below the red ""brittann"" sign, woman walking past the ""sidney house"" sign, a street level"
"pond with ducks and a bird. the bird has a tail, and there are four ducks.	","pond with ducks and a bird, the bird has a tail, four ducks in the pond"
a window in a building near a road with lines. there is a sky above the building and a pole near the road.	,"a window in a building near a road, lines on the road, sky above the building, a pole near the road"
there are people in a plaza under columns in front of a building with many windows. there is a man in a shirt.	,"people in a plaza under columns, columns in front of a building with many windows, a man in a shirt"
a scooter with two tires and handlebars in front of a building	,a scooter with two tires and handlebars in front of a building
scooter with a light and a tire on a kickstand in front of a building. the building has numbers on it.	,"scooter with a light and a tire on a kickstand in front of a building, numbers on the building"
"car with a wheel in front of a moped with another wheel. the moped has a mirror, and the house has a window in the wall.	","car with a wheel in front of a moped with another wheel, the moped has a mirror, a window in the wall of the house"
awning in front of cafe with window on building. there are tables and chairs on the sidewalk with white lines.	,"awning in front of a cafe, window on the building, tables and chairs on the sidewalk with white lines"
a car with a light and license plate in front of a building with a sign.	,a car with a light and license plate in front of a building with a sign
